X;Y_22.06.2000;Y_05.07.2005;Y_11.04.2012;Y_19.10.2016;Y_15.11.2016;Y_10.05.2017;Y_21.02.2018;Y_08.08.2018;Y_13.12.2018;Y_27.12.2018;Y_03.05.2019;Y_12.07.2019;Y_02.10.2019;Y_25.03.2020;Y_31.08.2020;Y_13.11.2020;Y_15.05.2021;Y_31.08.2021
654,3434343;0;-0,026073551;-12,68788025;-0,008021774;-14,10737828;-14,10737828;-656,185248;-858,2066621;-882,1990212;-657,3586648;-903,634415;-922,5793384;-980,2206907;-1133,60396;-1513,277219;-1747,336537;-1866,067894;-1910,030019
662,6262626;0;-0,013234408;-11,57681224;-0,004071691;-11,88999945;-11,88999945;-628,8817831;-823,9041804;-847,1873449;-630,1156346;-868,2174024;-885,1973186;-942,0310185;-1107,413843;-1513,600509;-1774,09595;-1898,625469;-1943,965932
670,9090909;0;0;-9,997922898;0;-9,998162424;-9,998162424;-599,9683533;-784,9554653;-809,9590419;-599,966027;-829,9575499;-844,9555756;-899,952727;-1075,963213;-1515,00364;-1790,010565;-1920,016277;-1965,014568
679,1919192;0;0;-7,813782297;0;-8,542780301;-8,542780301;-571,5389094;-743,2461586;-772,9467654;-568,6320275;-791,282071;-804,7325308;-856,466134;-1040,746308;-1520,32447;-1793,42647;-1928,288403;-1970,556941
687,4747475;0;0;-5,296600215;0;-7,41794254;-7,41794254;-543,4469622;-699,8746349;-736,0859247;-536,9376603;-752,2792187;-764,5719963;-812,565106;-1002,491855;-1527,25241;-1786,545047;-1925,489798;-1963,574155
695,7575758;0;0;-2,820659698;0;-6,463710872;-6,463710872;-514,9877532;-655,7430996;-698,6896705;-505,4831477;-712,4544277;-723,8114614;-768,8731182;-961,737834;-1532,193993;-1772,528335;-1914,665093;-1948,442734
704,040404;0;0;-0,760243791;0;-5,520147027;-5,520147027;-485,4565244;-611,7537576;-660,0711534;-474,8687115;-671,3131331;-681,7884154;-726,0136456;-919,0222246;-1531,55575;-1754,538372;-1898,858919;-1929,539204
712,3232323;0;-0,001164039;0;-0,000358128;-4,433602024;-4,433602024;-454,186623;-568,7880548;-619,5782542;-445,6738776;-628,3969232;-637,8819331;-684,5860158;-874,8943414;-1521,890947;-1735,669992;-1881,066292;-1911,13631
720,6060606;0;-0,002175229;0;-0,00066923;-3,196582513;-3,196582513;-421,3969257;-527,2450122;-577,3659474;-417,9972159;-584,0875473;-592,4374827;-644,6283958;-830,1669079;-1503,162766;-1717,456273;-1863,129278;-1895,095068
728,8888889;0;-0,001916726;0;-0,000589699;-1,948590125;-1,948590125;-388,196924;-487,0384557;-534,4009359;-391,4535782;-539,6117405;-546,7724763;-605,6145696;-785,9175698;-1478,763887;-1699,85957;-1845,730364;-1880,850921
737,1717172;0;-0,00099199;0;-0,000305195;-0,83558365;-0,83558365;-355,7352321;-448,0608977;-491,6855799;-365,6365676;-496,2333563;-502,2470211;-566,993529;-743,2356103;-1452,237641;-1682,773239;-1829,501102;-1867,73276
745,4545455;0;-4,47946E-06;0;-1,37815E-06;-0,003521878;-0,003521878;-325,160464;-410,2048506;-450,2222398;-340,1397874;-455,2162482;-460,2212244;-528,2142658;-703,2103124;-1427,127359;-1666,090634;-1815,073044;-1855,069476
753,7373737;0;0;-0,252416318;0;0;0;-297,4395306;-373,5152601;-410,947334;-314,7352402;-417,6203502;-421,853929;-489,0283422;-666,7440602;-1406,253855;-1649,757129;-1802,86757;-1842,344282
762,020202;0;0;-0,31627176;0;0;0;-272,8004644;-338,6569263;-374,5291359;-289,9203723;-383,6763782;-387,485556;-450,4176924;-633,9792318;-1389,499907;-1633,929621;-1792,451417;-1829,66792
770,3030303;0;0;-0,243990133;0;0;0;-251,283512;-306,4521851;-341,5677697;-266,3770013;-353,4043023;-357,2485247;-413,6769498;-604,8650498;-1376,001587;-1618,818764;-1783,174118;-1817,31062
778,5858586;0;0;-0,090010331;0;0;0;-232,92892;-277,7233726;-312,6633597;-244,786945;-326,8240929;-331,2752547;-380,1007473;-579,3507369;-1364,89497;-1604,635214;-1774,385203;-1805,542612
786,8686869;0;-0,000202799;0;-6,2393E-05;-0,159445762;-0,159445762;-217,7769352;-253,2928248;-288,41603;-225,8320209;-303,9557201;-309,6981652;-350,9837183;-557,3855156;-1355,316128;-1591,589627;-1765,434205;-1794,634126
795,1515152;0;-0,000545269;0;-0,000167757;-0,4287044;-0,4287044;-205,8678042;-233,9828776;-269,425905;-210,1940466;-284,8191542;-292,6496756;-327,6204959;-538,9186087;-1346,401137;-1579,892656;-1755,670654;-1784,855392
803,4343434;0;-0,000706303;0;-0,000217301;-0,555313654;-0,555313654;-197,2417735;-220,615867;-256,2931088;-198,55484;-269,4343654;-280,2622052;-311,3057132;-523,8992387;-1337,286069;-1569,754958;-1744,444082;-1776,47664
811,7171717;0;-0,000564885;0;-0,000173792;-0,444127521;-0,444127521;-191,9390899;-214,0141292;-249,6177658;-191,5962186;-257,8213239;-272,6681736;-303,3340035;-512,2766282;-1327,106999;-1561,387188;-1731,10402;-1769,768099
820;0;0;-1,11022E-16;0;0;0;-190;-215;-250;-190;-250;-270;-305;-504;-1315;-1555;-1715;-1765
